,NVDA,GOOGL,GOOG,AAPL,MSFT,AMZN,AVGO,META,TSLA,WMT,BRK-B,LLY,JPM,MU,XOM,V,AMD,INTC,JNJ,ORCL,COST,MA,CAT,CVX,BAC,CSCO,NFLX,ABBV,LRCX,KO,PG,UNH,AMAT,PLTR,HD,GE,MS,GEV,GS,MRK,PM,TXN,WFC,RTX,LIN,KLAC,C,AXP,IBM,ANET,PEP,TMUS,SNDK,MCD,NEE,VZ,ADI,QCOM,T,DIS,AMGN,BA,TMO,STX,TJX,BLK,APH,GILD,APP,SCHW,WDC,ISRG,ETN,UNP,DE,CRM,ABT,WELL,BX,PFE
2018-06-15,76.23,311.47,55.0,26.59,68.7,629.19,136.51,85.12,60.54,95.59,198.35,221.83,224.68,238.15,223.69,91.29,79.78,95.43,51.96,98.97,275.08,290.93,215.84,164.62,218.54,118.13,331.74,160.3,90.75,485.53,319.64,197.38,410.78,378.48,321.36,153.14,261.5,170.41,67.32,90.56,252.12,376.04,423.01,604.59,145.52,214.09,98.3,111.46,96.77,129.56,352.14,477.45,274.1,305.27,100.49,124.39,500.1,312.52,234.29,459.73,70.02,279.95,301.28,242.97,466.2,122.11,199.26,242.76,305.32,123.82,310.7,55.92,555.94,139.78,59.42,95.83,28.75,165.87,85.14,63.23
2018-06-18,72.59,309.98,53.74,27.21,67.57,635.31,137.45,84.77,59.85,94.76,199.86,221.98,224.89,242.73,223.42,89.75,80.35,96.21,51.39,99.77,270.74,289.93,217.96,159.13,222.7,123.66,326.17,161.5,91.53,474.72,324.11,194.96,417.19,385.26,326.22,154.13,260.31,171.06,67.42,89.49,261.48,379.68,412.31,617.22,141.11,214.82,101.21,113.02,99.05,129.92,356.92,483.24,275.41,301.48,104.04,122.96,500.54,315.64,235.65,448.37,70.94,276.86,302.36,243.37,466.84,120.65,191.91,242.42,301.97,124.84,309.34,55.54,561.16,145.47,57.24,97.25,28.29,165.29,83.58,61.71
2018-06-19,74.51,310.61,52.85,27.07,69.06,625.55,133.77,85.96,59.23,92.06,199.64,223.44,224.54,237.23,223.92,89.16,80.06,95.36,49.14,99.97,275.24,293.67,214.15,157.62,224.46,125.64,328.53,164.45,90.68,477.35,325.82,197.19,404.75,369.89,335.63,152.76,256.99,169.72,66.95,89.36,251.17,384.51,416.98,619.93,138.84,215.35,100.77,112.13,97.93,127.79,348.55,491.25,280.76,303.31,105.34,123.69,499.78,319.83,226.5,452.88,69.21,274.52,297.16,248.12,452.35,116.49,196.59,234.68,290.78,126.35,315.99,54.81,561.11,141.81,55.91,97.97,27.82,167.27,83.44,62.85
2018-06-20,73.63,310.46,52.02,27.55,70.08,621.83,134.39,85.83,57.45,90.89,197.11,224.69,224.15,239.95,227.2,89.73,80.88,95.03,49.91,100.08,275.16,294.4,210.02,154.96,227.1,126.55,336.44,167.77,89.98,479.92,326.26,194.25,404.25,375.85,343.41,155.86,252.99,165.99,67.03,90.44,249.6,375.65,423.57,611.27,137.1,208.2,99.88,114.51,97.65,126.65,352.1,474.73,276.82,301.28,104.29,123.45,497.62,319.29,232.39,445.11,70.5,275.42,295.86,247.56,446.22,115.56,202.93,234.98,282.38,128.17,316.51,55.45,564.87,144.18,58.86,97.65,29.03,160.5,80.48,61.64
2018-06-21,73.84,314.4,51.68,26.9,69.66,615.72,132.23,86.16,55.11,92.87,196.58,223.85,223.71,235.77,217.53,89.96,80.31,96.23,50.29,97.22,277.55,289.73,213.42,150.88,237.74,126.48,336.84,171.32,90.46,489.16,331.31,199.08,398.23,380.47,351.15,154.86,255.91,163.92,66.13,89.43,260.39,373.34,431.47,626.22,138.92,211.79,101.22,115.52,98.16,129.6,356.42,453.0,276.53,303.25,102.73,122.7,501.83,322.28,233.69,445.78,69.82,267.78,298.18,244.66,448.79,117.25,212.88,236.36,295.2,129.66,323.22,54.53,567.62,142.25,59.84,97.56,29.23,157.55,79.28,59.91
2018-06-22,75.11,317.19,51.31,26.37,69.38,616.54,132.3,84.08,56.9,92.87,193.93,220.62,216.81,233.92,215.94,91.21,81.09,95.51,51.82,95.76,273.62,287.65,216.46,148.16,241.67,129.89,337.71,163.17,87.99,475.35,327.62,198.43,401.19,374.31,344.43,157.03,251.33,161.13,65.74,90.93,255.91,372.09,412.64,608.47,140.73,211.21,101.19,115.57,97.31,128.72,351.86,466.47,276.72,302.74,105.97,124.66,506.87,326.74,232.02,445.64,70.71,257.55,294.42,239.84,449.89,118.04,207.12,227.18,294.33,129.67,324.51,55.78,572.8,144.16,60.27,96.98,29.74,155.86,79.71,58.41
2018-06-25,73.68,315.93,52.42,26.08,69.16,607.27,132.85,84.25,58.49,92.3,186.85,219.18,216.03,238.53,219.18,90.43,82.28,95.91,51.82,96.22,277.4,294.32,219.1,146.53,248.93,129.89,345.89,160.25,88.39,469.96,323.5,198.79,398.95,374.2,342.89,157.84,246.71,159.26,67.56,90.59,258.76,367.03,417.44,626.84,140.44,209.36,103.03,117.0,95.69,134.05,353.34,482.87,270.2,304.65,106.34,128.44,494.24,328.2,234.89,449.36,71.69,251.58,298.76,243.64,461.73,119.63,208.68,225.83,281.84,132.57,328.93,55.83,573.74,145.69,60.88,96.5,29.9,158.85,78.13,58.66
2018-06-26,73.47,317.66,53.01,26.77,67.91,606.06,131.47,83.11,57.38,88.71,183.28,218.11,216.16,236.45,217.53,90.49,83.31,95.71,51.14,97.01,282.03,294.72,217.38,145.65,252.58,125.77,346.96,157.72,87.67,461.61,325.77,196.69,405.85,369.39,336.63,157.81,239.98,159.46,67.54,89.27,250.89,358.82,432.49,623.52,143.0,210.97,103.02,115.48,95.63,131.37,359.39,494.24,271.56,305.45,108.11,127.16,494.56,326.0,230.22,448.06,70.91,245.67,288.21,246.13,464.19,120.66,211.4,222.27,278.68,128.85,331.72,56.5,574.04,149.72,62.16,95.89,30.17,161.73,77.85,57.62
2018-06-27,69.67,314.61,52.98,26.92,67.71,605.67,126.84,81.82,58.58,86.79,183.58,217.41,217.02,237.42,223.41,89.56,80.27,96.9,50.2,96.17,284.48,289.23,218.9,143.99,257.96,124.88,348.67,158.72,90.11,461.69,318.58,201.01,402.36,366.22,332.78,158.36,241.3,160.29,65.2,88.31,251.55,362.5,433.11,596.14,142.69,208.89,104.01,115.56,95.96,126.76,355.57,477.39,265.51,304.12,106.33,125.56,494.61,322.59,230.69,454.81,71.29,247.08,290.81,235.62,458.95,120.07,214.54,227.35,278.39,127.1,335.89,56.44,570.18,151.59,63.21,97.42,30.94,161.33,77.35,57.54
2018-06-28,70.75,307.05,55.54,26.93,68.35,603.9,127.86,82.06,56.75,87.76,174.25,220.64,209.57,241.88,226.46,90.25,82.15,99.07,51.27,100.02,277.78,294.86,217.83,141.58,258.85,124.06,348.78,161.34,90.04,460.2,317.7,203.04,400.27,359.26,335.44,158.56,244.96,154.75,65.48,88.67,248.38,364.13,443.03,582.92,145.43,204.2,102.99,114.21,94.67,128.87,359.22,489.49,262.67,304.52,99.44,122.86,493.24,319.77,227.49,445.41,71.69,240.94,295.67,242.48,456.01,122.5,214.21,222.06,284.37,131.17,336.97,56.87,568.64,149.55,61.37,96.76,30.88,158.2,77.62,57.18
2018-06-29,72.96,308.51,55.43,27.1,67.86,627.7,128.35,82.79,58.34,87.7,183.46,218.49,208.6,237.18,223.81,93.37,80.88,99.16,52.03,101.63,281.72,289.09,214.11,143.37,261.45,122.76,345.79,165.57,88.9,463.72,308.86,210.18,400.9,356.14,335.23,160.13,255.64,156.78,64.04,87.59,248.69,366.3,435.21,571.86,146.15,202.33,101.73,111.68,94.21,126.05,364.85,491.95,269.04,309.53,95.65,122.99,489.01,317.71,228.82,436.24,71.57,232.54,302.12,235.05,460.86,120.31,212.23,224.92,279.56,131.86,329.55,56.47,567.94,146.78,60.15,96.08,31.15,160.71,77.8,57.39
2018-07-02,69.82,319.78,55.44,27.58,68.66,625.24,128.38,83.39,58.37,89.03,180.76,218.17,214.89,239.33,220.56,93.77,80.11,98.94,52.56,102.25,281.98,293.92,207.97,143.36,258.15,124.2,349.66,169.05,84.85,480.15,316.01,207.46,409.56,353.74,340.07,155.4,255.72,153.49,64.67,86.99,248.43,367.29,419.59,581.5,145.47,200.16,102.78,113.23,92.51,127.12,369.96,485.91,274.31,308.87,96.32,122.65,497.11,319.18,225.54,444.74,72.24,231.03,296.32,229.68,456.95,118.36,215.71,225.7,281.34,131.37,333.23,55.76,558.47,149.59,60.67,98.78,31.53,162.77,79.24,57.08
2018-07-03,69.09,314.64,54.42,27.22,67.89,600.65,127.61,82.98,56.85,88.34,184.18,223.27,215.11,241.17,218.83,93.33,78.92,97.59,52.36,99.43,285.73,301.4,205.68,142.6,257.93,119.04,356.45,170.66,84.58,469.45,312.67,206.56,406.82,353.2,350.75,158.83,254.52,149.99,65.13,89.98,248.35,375.03,420.95,583.03,144.02,197.23,102.29,114.54,92.27,129.22,368.94,495.89,269.88,313.25,92.31,117.82,494.84,320.44,228.57,452.45,72.97,228.29,296.82,229.12,468.17,115.31,213.1,219.71,280.69,127.3,331.36,53.84,563.42,146.11,60.43,98.72,32.9,161.71,77.45,57.07
2018-07-04,66.75,309.1,54.14,27.65,66.97,613.53,125.81,83.71,54.91,86.4,176.42,227.86,219.24,235.09,215.3,92.45,80.29,100.68,54.66,99.39,277.27,296.1,200.46,144.56,255.93,115.51,347.35,168.3,83.3,462.22,320.1,208.23,398.49,352.9,353.5,159.54,253.68,150.93,62.91,91.24,246.12,377.32,415.64,597.93,143.16,198.27,103.27,114.79,94.0,127.1,373.03,494.91,268.79,311.33,91.14,124.07,502.81,323.45,229.4,461.76,73.17,237.7,307.51,228.94,468.29,109.69,212.52,220.29,287.7,127.39,336.38,53.59,549.12,146.87,61.72,97.84,32.77,164.63,77.93,56.6
2018-07-05,66.67,304.56,54.44,27.29,68.23,626.66,125.76,84.53,56.85,86.2,171.82,228.55,219.86,230.94,213.03,94.62,77.06,101.39,54.42,101.2,274.53,300.39,201.74,144.48,257.35,115.88,343.09,171.94,80.65,454.3,309.12,207.45,393.55,342.49,346.97,158.95,260.7,151.61,64.01,91.63,241.26,386.6,425.94,595.42,143.24,198.02,102.92,118.35,96.16,126.43,373.66,518.34,269.26,305.99,90.96,122.52,501.01,322.28,231.39,454.47,73.2,237.02,304.22,228.98,474.81,108.82,215.77,214.6,291.38,129.92,344.22,54.58,554.69,144.01,63.46,100.01,33.64,167.53,81.61,56.3
2018-07-06,67.73,309.69,53.5,28.13,66.15,601.44,125.77,84.66,54.2,85.39,176.66,222.46,217.9,238.03,209.05,94.06,79.36,102.76,53.59,100.24,269.37,307.34,201.4,142.65,255.59,115.89,347.28,168.0,78.85,444.85,304.5,207.02,396.21,335.67,346.17,158.32,261.36,152.7,62.9,91.63,249.7,392.05,435.34,612.08,142.51,201.67,101.53,118.3,94.64,128.69,375.69,525.91,267.69,303.93,92.31,120.47,497.77,320.71,231.02,457.95,71.95,233.57,307.14,226.28,469.99,104.63,219.47,214.05,286.75,131.05,350.3,55.66,561.3,147.27,63.18,99.72,33.64,172.97,80.53,56.39
2018-07-09,69.85,311.89,53.09,27.76,67.76,594.15,127.51,85.28,54.21,84.57,178.14,217.88,215.62,234.32,208.67,93.37,84.17,104.55,54.64,100.16,265.7,315.43,201.54,143.08,257.72,116.02,341.29,165.08,81.42,461.72,306.42,209.18,392.94,327.67,355.15,159.64,259.13,152.98,63.08,91.23,257.5,397.78,432.51,627.66,136.1,200.73,100.1,114.4,94.62,126.83,373.58,524.26,273.01,306.71,92.73,121.0,498.5,321.85,225.23,465.96,72.51,240.5,304.81,222.61,465.51,106.66,210.67,217.56,272.85,136.44,355.96,53.92,558.04,145.72,61.29,98.74,34.21,175.72,80.24,55.7
2018-07-10,72.11,310.92,53.26,27.48,68.77,599.33,125.86,87.71,50.67,83.84,177.41,220.76,217.82,232.22,210.62,92.9,83.66,104.54,53.98,100.42,262.54,309.78,205.7,146.88,253.62,115.55,338.18,159.75,81.55,476.93,309.69,209.01,395.33,341.25,350.61,162.34,265.0,147.12,64.63,89.73,252.72,399.67,442.26,638.5,135.95,205.91,101.18,116.7,95.63,123.71,374.17,510.33,280.88,309.71,91.21,120.59,502.74,323.73,225.5,471.26,72.75,243.7,304.88,222.34,459.1,107.94,210.33,221.89,266.44,137.01,364.55,52.81,563.45,144.91,60.55,100.83,33.62,177.26,81.2,55.06
2018-07-11,74.81,306.93,52.87,27.64,68.93,606.69,127.43,85.15,49.18,83.25,185.0,223.56,215.55,223.61,213.62,95.06,81.76,104.28,52.27,98.76,270.4,304.2,202.27,145.97,256.35,116.46,336.57,161.56,84.03,470.43,315.04,213.62,402.6,340.83,351.33,166.71,254.84,147.37,64.46,89.43,251.3,409.67,455.45,624.08,134.93,203.28,102.5,118.55,99.48,129.61,368.87,501.24,281.39,305.52,90.33,121.59,499.83,330.09,222.7,476.13,74.14,241.33,304.46,218.53,461.76,110.66,211.85,228.45,261.54,136.93,358.08,54.1,557.08,146.05,60.73,100.54,33.48,177.51,82.75,55.02
2018-07-12,74.57,307.07,52.4,27.87,68.43,605.78,129.45,84.79,46.93,83.19,179.1,217.19,220.19,221.94,214.31,94.44,78.36,106.08,55.05,96.68,272.29,301.35,208.12,147.32,261.65,115.04,331.31,156.2,83.77,463.68,319.13,217.12,400.73,343.84,355.34,163.96,257.71,144.8,64.11,88.42,251.43,416.66,462.42,622.74,137.56,199.01,102.83,120.12,99.91,125.36,368.51,501.4,278.86,307.43,92.34,123.76,499.68,337.21,223.08,478.02,73.75,248.59,306.29,224.79,458.7,110.58,208.13,222.59,256.03,136.3,358.64,53.23,567.32,148.66,58.81,100.88,32.7,178.2,83.57,57.14
2018-07-13,72.38,298.66,52.89,27.92,68.46,605.71,130.96,85.26,43.11,81.94,182.94,219.29,219.26,224.5,206.5,94.77,77.97,105.74,55.89,100.77,279.15,295.92,208.13,149.79,258.04,116.76,333.12,153.13,83.71,441.16,308.86,224.41,406.67,353.36,363.5,168.25,252.64,137.75,65.47,86.7,235.79,420.1,481.16,630.81,134.72,202.3,102.01,117.82,101.59,124.35,381.19,509.74,274.9,307.31,93.14,121.66,496.1,335.84,226.98,474.15,75.29,250.17,309.28,219.48,454.25,108.47,212.83,225.27,252.03,132.04,361.56,53.44,567.94,149.14,58.12,99.83,33.41,175.32,85.06,57.5
2018-07-16,72.43,300.0,51.92,27.97,68.71,595.03,135.33,81.84,42.27,83.85,181.64,216.78,222.36,228.03,207.86,92.21,77.22,105.18,56.03,98.55,288.48,308.61,209.41,150.26,251.69,111.18,336.28,153.95,84.39,442.47,304.36,223.24,396.43,356.71,367.18,170.67,254.65,135.02,65.1,86.94,244.43,417.66,480.57,638.73,139.44,199.06,101.42,121.21,100.08,124.47,371.94,498.81,275.27,309.18,94.06,122.73,483.25,339.25,233.5,466.23,76.06,256.28,310.58,215.7,459.89,111.55,218.75,231.89,251.58,133.75,372.11,55.08,568.69,145.68,58.89,100.86,34.36,173.49,84.15,58.17
2018-07-17,73.6,304.05,50.9,27.55,68.92,569.05,131.09,84.79,41.75,84.63,178.75,216.33,223.61,231.65,205.8,92.88,78.77,105.98,56.36,98.08,292.0,309.32,209.36,152.25,253.9,111.99,335.87,153.07,82.62,433.0,300.34,221.61,397.97,368.38,366.55,168.83,251.96,137.35,66.5,87.87,260.2,413.93,480.36,639.81,140.32,196.26,100.39,120.29,101.87,123.08,369.15,484.39,284.16,304.0,92.15,119.03,478.24,337.45,226.88,460.61,77.17,259.91,319.57,215.1,453.8,108.02,209.85,232.53,251.7,134.25,366.35,55.29,575.78,145.79,59.25,102.4,34.32,173.62,82.99,58.37
2018-07-18,70.7,298.64,51.27,28.28,67.56,592.32,135.42,85.59,40.06,85.13,171.33,218.93,225.85,231.38,205.85,92.89,81.05,104.35,54.82,98.8,300.83,310.23,208.58,152.16,250.76,111.89,334.39,151.12,83.08,428.7,307.27,225.17,402.28,368.64,355.21,167.38,247.5,136.12,65.67,87.4,267.25,427.39,473.04,646.81,141.37,206.8,98.16,115.46,102.09,118.97,370.17,480.95,291.72,307.52,88.76,117.71,476.87,333.91,222.65,471.81,77.69,264.04,321.01,218.84,451.09,103.98,208.03,243.09,247.81,129.93,356.96,55.4,575.44,143.44,59.53,102.39,34.88,167.63,82.59,58.55
2018-07-19,74.5,289.34,51.95,28.85,68.05,581.4,134.29,87.06,39.38,84.81,163.79,221.95,223.41,226.83,203.09,93.94,78.13,105.08,54.96,95.53,302.62,318.86,206.6,146.5,243.48,108.95,339.64,143.49,82.58,433.27,304.0,225.86,405.05,379.24,359.54,168.63,250.95,138.67,65.44,87.46,267.27,417.28,470.86,655.04,138.53,210.13,95.61,114.18,103.91,119.17,367.38,482.13,287.53,304.98,87.5,117.77,496.94,335.46,220.84,467.95,77.94,271.48,324.09,222.93,446.96,105.41,210.92,243.12,258.9,128.95,363.88,56.14,579.0,142.03,58.53,104.01,33.43,167.88,81.12,58.4
2018-07-20,76.51,298.4,52.28,29.3,68.46,583.9,134.74,89.75,39.02,85.78,164.64,222.3,227.27,228.63,200.14,94.66,78.07,106.09,54.62,97.95,307.73,316.0,205.79,143.47,250.54,105.0,344.72,147.68,85.94,428.86,299.69,226.21,417.07,382.76,354.97,171.0,241.68,138.58,64.48,86.04,275.09,417.05,462.9,643.83,135.46,217.23,94.18,112.51,106.61,115.56,366.88,491.43,289.28,307.07,87.38,118.15,493.5,338.58,221.54,465.98,78.15,272.88,327.74,218.66,446.51,107.48,216.28,236.65,259.16,130.74,365.33,56.17,582.93,140.11,58.68,103.48,33.43,165.38,79.63,59.64
2018-07-23,76.3,295.79,51.96,29.12,68.31,580.34,135.15,90.8,36.52,86.13,165.71,224.02,236.22,226.66,199.27,94.86,76.38,105.87,54.06,99.97,303.64,318.05,203.78,144.99,244.42,104.88,352.23,150.69,84.89,423.35,299.99,221.2,416.77,379.08,356.44,168.67,240.86,136.91,64.37,85.88,276.99,417.92,466.65,646.7,134.88,218.47,94.24,110.7,106.5,116.29,367.7,485.37,286.68,303.68,87.61,119.94,495.24,338.35,229.98,473.47,78.08,273.39,323.17,214.18,439.91,107.51,217.81,236.73,270.02,137.43,373.88,56.5,586.49,137.97,57.47,104.48,32.96,163.96,80.29,58.88
2018-07-24,74.76,300.16,51.86,29.3,70.44,592.09,132.13,86.35,36.55,84.91,162.45,223.27,232.76,220.76,203.02,94.34,76.82,107.4,52.38,97.39,308.08,310.3,208.9,149.12,251.84,102.74,350.51,150.76,84.74,433.92,298.03,225.16,423.78,371.9,354.07,170.41,236.36,141.42,64.67,84.51,279.92,427.11,474.72,673.96,138.42,217.94,93.66,110.45,103.49,116.21,365.83,502.22,285.8,306.07,87.97,119.52,494.49,340.79,232.64,470.89,77.46,277.29,333.32,219.85,441.75,108.15,214.0,229.18,273.91,133.03,370.75,55.6,590.99,138.45,58.34,99.3,33.62,166.5,78.39,58.57
2018-07-25,73.6,300.11,52.77,29.48,70.35,593.55,132.31,86.45,37.41,83.27,162.34,220.11,237.36,221.58,190.75,94.47,72.36,105.23,51.2,97.13,307.23,309.49,209.94,146.96,244.9,101.67,349.79,152.93,83.67,437.02,293.4,231.92,418.59,363.14,358.13,176.63,233.06,141.66,68.86,83.97,283.68,432.0,472.11,644.4,142.06,218.37,92.21,111.22,103.03,114.83,365.44,497.26,286.96,308.86,89.77,120.31,502.4,341.83,239.59,473.14,78.25,281.49,336.26,220.7,456.08,107.17,216.19,229.79,277.19,132.15,377.21,54.36,598.47,137.13,57.42,98.04,33.9,167.43,80.35,59.6
2018-07-26,73.73,300.28,53.54,29.96,68.48,596.44,135.19,86.74,37.88,81.02,162.06,224.84,236.8,226.55,192.34,93.12,69.93,105.05,51.18,98.79,304.68,318.81,214.15,150.44,243.36,102.86,345.57,158.46,84.09,450.08,291.31,232.64,426.11,346.95,371.15,177.18,229.69,142.83,70.81,85.48,277.72,436.86,461.88,647.88,144.05,223.04,91.6,113.33,107.05,114.41,363.2,500.28,284.52,308.77,90.41,115.16,508.74,342.61,240.67,478.05,78.5,286.77,340.57,214.0,448.23,110.82,211.63,229.8,267.55,134.62,370.46,54.01,593.01,139.28,57.66,97.36,34.37,167.26,77.64,60.19
2018-07-27,73.53,302.76,53.53,30.49,67.68,564.05,135.89,84.59,38.26,82.92,160.44,230.0,233.76,230.51,197.06,93.49,69.14,106.77,50.9,98.64,306.58,325.68,212.5,148.17,248.23,103.19,341.8,157.66,80.67,441.75,294.66,236.82,429.3,352.7,374.33,175.59,230.07,142.81,71.82,84.17,283.33,441.01,468.92,658.8,146.25,217.89,90.58,111.66,107.53,119.24,366.2,496.11,286.32,306.16,90.32,116.91,497.88,340.77,236.87,480.55,78.27,290.88,342.0,216.41,443.11,111.6,210.24,230.96,272.57,135.75,360.57,54.15,589.18,137.56,57.4,96.94,35.89,166.2,74.38,60.06
2018-07-30,75.31,297.39,53.35,30.67,68.34,555.33,132.46,80.62,38.07,82.65,157.08,228.8,229.65,235.32,188.74,93.97,70.31,107.08,51.25,100.35,305.47,328.5,215.77,147.03,242.19,104.73,348.97,151.91,81.42,454.75,306.04,238.8,434.0,350.87,375.16,176.15,228.14,140.51,71.11,84.83,293.74,437.34,466.8,676.44,145.62,217.86,91.88,112.75,107.89,121.13,373.43,490.0,292.19,303.16,89.69,118.47,496.43,339.58,235.07,477.46,77.92,299.69,340.63,217.1,438.41,107.51,214.55,223.83,259.33,134.57,370.97,53.28,593.15,137.54,56.0,100.86,35.18,164.09,74.94,59.61
2018-07-31,74.77,297.89,53.2,29.95,67.61,563.97,129.63,81.68,38.64,83.39,158.59,226.31,226.03,236.25,188.01,94.12,69.25,105.0,50.54,102.82,300.97,329.08,220.78,146.8,241.49,108.26,351.31,154.31,86.19,469.37,309.01,237.41,448.14,364.17,376.82,175.63,220.36,143.27,70.75,84.56,291.98,451.01,467.76,686.79,147.21,214.57,91.93,115.66,108.16,120.55,371.92,491.18,288.06,304.63,88.0,122.23,493.78,340.96,237.86,488.95,76.55,298.45,349.11,218.9,437.11,105.64,215.25,223.12,261.75,133.18,359.93,52.22,603.75,135.53,55.73,99.47,35.81,166.99,77.78,60.54
2018-08-01,76.05,297.03,52.95,30.79,66.63,572.28,128.34,79.55,40.14,83.35,162.54,230.92,223.09,233.2,185.17,94.2,70.87,105.57,49.77,101.45,302.39,329.25,224.31,147.99,233.77,109.77,360.7,150.28,88.36,466.04,309.0,240.4,444.81,364.28,374.52,172.36,220.69,145.35,72.23,83.7,303.2,456.07,464.91,696.64,145.81,214.95,92.25,114.85,108.14,121.79,374.1,500.0,293.53,309.11,84.14,123.71,506.49,342.75,236.7,474.6,76.04,291.0,335.78,230.2,426.93,105.45,214.0,224.85,252.73,133.19,356.64,53.28,604.81,130.36,55.67,99.11,37.23,164.46,77.61,61.33
2018-08-02,75.88,290.39,52.59,31.09,68.06,561.78,131.49,83.43,43.64,84.86,164.95,227.77,219.74,234.83,182.97,93.83,68.96,105.31,50.79,102.1,295.84,330.75,224.19,149.85,237.58,112.58,354.72,150.49,88.86,459.03,314.0,239.75,442.3,359.96,367.57,168.56,217.56,149.54,71.49,84.83,311.17,459.56,471.24,677.52,147.31,211.99,91.03,120.16,108.65,120.34,373.8,501.79,294.45,312.86,84.68,122.58,508.89,348.19,237.43,485.69,75.94,291.64,344.32,225.62,419.57,104.7,208.19,215.94,266.69,133.75,351.16,51.84,616.13,132.36,54.64,99.19,37.26,163.41,78.28,61.53
2018-08-03,76.53,290.88,52.21,30.92,68.46,543.63,131.79,84.02,42.28,84.48,165.3,230.89,223.33,236.59,180.64,93.67,68.98,106.22,51.05,100.39,294.67,322.14,227.29,149.17,237.54,111.56,363.49,150.12,88.5,459.52,319.43,242.65,427.26,358.28,360.28,167.59,219.73,149.74,69.22,83.69,305.91,457.0,470.59,673.21,145.2,211.68,91.16,119.07,109.88,121.42,371.95,502.37,280.27,309.95,83.72,122.66,508.42,349.83,233.89,486.77,75.73,292.22,349.05,225.67,419.85,105.27,209.3,211.91,275.48,135.21,359.92,51.56,608.14,132.45,55.92,102.25,37.62,159.32,80.43,61.34
2018-08-06,76.16,289.65,52.04,31.04,67.68,545.38,126.83,86.73,40.97,83.22,168.7,226.34,224.01,235.44,181.76,92.54,67.53,107.74,51.9,99.47,298.28,330.61,228.93,155.07,236.16,108.48,366.57,156.13,89.41,455.94,309.71,240.16,422.51,365.62,354.76,162.5,221.15,151.21,70.17,85.69,306.78,465.77,468.21,681.88,142.49,218.38,91.43,115.89,113.63,120.82,372.0,523.52,282.78,305.27,83.85,124.94,515.47,352.06,233.72,490.32,75.38,292.65,350.77,224.66,423.68,104.8,207.15,202.64,282.52,136.35,354.61,51.35,614.51,129.51,55.59,101.93,37.86,157.36,82.31,63.44
2018-08-07,77.78,289.81,51.87,30.28,65.17,513.85,131.35,86.83,39.67,82.06,167.71,225.91,225.45,237.94,180.63,91.53,69.4,107.74,53.56,99.71,301.54,322.83,238.98,155.26,236.51,105.71,370.62,159.13,91.69,475.21,304.64,240.25,415.81,362.4,351.44,163.55,226.1,151.81,70.0,85.81,302.62,458.31,477.75,688.08,143.09,213.7,92.44,113.65,116.25,122.68,369.21,506.61,281.43,305.15,83.39,118.2,517.94,348.4,230.41,488.63,74.48,298.72,348.42,228.21,428.74,102.95,209.62,209.26,273.25,138.15,356.79,53.2,614.96,128.57,57.77,102.66,38.18,162.24,80.95,63.78
2018-08-08,79.68,283.99,52.35,30.84,66.01,503.68,135.74,88.45,41.5,81.56,166.13,229.17,221.68,240.26,174.3,94.03,71.93,104.42,53.72,100.43,303.15,316.15,238.6,153.96,234.14,102.88,378.24,164.7,93.4,477.37,297.18,244.51,420.75,363.44,341.05,166.38,225.7,147.47,69.8,86.88,305.6,456.69,499.06,665.11,145.73,209.39,92.58,111.23,116.29,122.52,365.93,501.01,281.64,295.28,84.05,114.99,516.56,346.91,232.35,500.75,73.83,289.91,338.11,224.86,440.0,104.91,214.84,210.39,257.75,140.17,347.46,53.13,617.44,132.55,58.97,103.55,38.07,159.73,79.96,61.97
2018-08-09,80.45,291.56,53.02,30.18,65.72,518.34,132.63,88.4,43.73,79.81,158.8,226.18,226.12,237.4,171.15,94.62,73.67,104.95,52.17,98.96,299.83,305.02,242.78,158.92,235.23,104.29,374.57,169.85,92.76,482.51,289.39,248.73,411.79,370.42,337.63,167.58,231.61,148.46,71.2,86.42,303.98,459.52,502.92,679.63,143.99,208.73,91.07,110.73,117.23,123.38,365.63,505.13,283.24,296.09,83.98,113.37,524.16,342.22,229.8,499.71,75.19,299.5,341.05,229.34,434.67,104.39,223.61,214.68,242.67,137.05,345.77,52.5,629.05,132.9,58.54,106.34,38.47,160.75,81.14,62.61
2018-08-10,81.99,296.79,52.49,30.01,67.26,534.56,131.98,90.72,44.81,78.95,156.73,224.16,224.15,235.0,171.1,95.21,75.69,103.34,50.94,99.74,298.28,309.61,240.13,159.36,237.64,107.91,383.52,169.96,90.36,487.76,280.32,252.92,416.6,371.26,333.64,171.53,238.08,142.1,70.81,86.25,309.02,456.43,497.41,695.53,143.86,212.5,92.02,108.86,113.72,120.86,362.92,494.71,277.1,294.28,85.59,117.36,517.52,335.47,234.28,488.1,76.03,289.44,335.88,228.95,443.57,106.41,225.9,207.35,246.58,136.88,341.26,51.82,629.64,131.99,57.41,109.16,38.63,163.55,81.04,62.24
